"행정구역별(시도)","다문화가구 구성별",2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(시도)","다문화가구 구성별",총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처
"서울특별시","계",67790,65185,30016,17380,1583,14914,1292,2605,69738,67061,29578,18698,1668,15843,1274,2677,69790,66840,27058,20105,1680,16787,1210,2950,71337,68205,26734,21148,1756,17322,1245,3132,72949,69548,26154,22544,1848,17792,1210,3401
"서울특별시","내국인(귀화)",19243,18365,10920,2693,285,4047,420,878,19317,18434,10668,2850,275,4205,436,883,20085,19093,10585,3136,314,4645,413,992,21010,19937,10810,3413,334,4922,458,1073,20889,19714,10314,3667,372,4944,417,1175
"서울특별시","내국인(출생)+내국인(귀화)",11173,10940,3809,3312,362,3305,152,233,11152,10935,3590,3441,378,3393,133,217,11321,11096,3384,3625,361,3602,124,225,11687,11442,3316,3884,381,3739,122,245,11966,11729,3233,4153,404,3812,127,237
"서울특별시","내국인(출생)+외국인(결혼이민자)",20720,19815,6302,8037,588,4578,310,905,20846,19902,6062,8099,611,4835,295,944,22801,21722,6092,9390,665,5221,354,1079,21525,20487,4900,9477,662,5180,268,1038,21931,20869,4783,9986,665,5158,277,1062
"서울특별시","내국인(출생)+다문화자녀",4988,4845,1275,2292,203,983,92,143,6134,5969,1442,3000,229,1191,107,165,6198,6000,1582,2805,207,1311,95,198,6413,6231,1653,2917,220,1340,101,182,6702,6499,1674,3107,234,1390,94,203
"서울특별시","내국인(귀화)+외국인(결혼이민자)",3825,3711,1779,571,61,1234,66,114,3997,3873,1720,652,70,1378,53,124,4292,4153,1813,773,84,1427,56,139,3749,3611,1352,769,79,1372,39,138,4589,4428,1696,945,88,1639,60,161
"서울특별시","기타",7841,7509,5931,475,84,767,252,332,8292,7948,6096,656,105,841,250,344,5093,4776,3602,376,49,581,168,317,6953,6497,4703,688,80,769,257,456,6872,6309,4454,686,85,849,235,563
"부산광역시","계",13589,13038,4565,6485,333,1444,211,551,14413,13836,4566,7227,352,1472,219,577,15158,14439,4465,7801,356,1580,237,719,15711,14934,4505,8216,355,1622,236,777,16202,15349,4379,8649,360,1729,232,853
"부산광역시","내국인(귀화)",1490,1384,609,526,27,190,32,106,1534,1422,620,565,31,173,33,112,1714,1560,639,646,38,204,33,154,1878,1714,706,716,44,213,35,164,1982,1802,689,796,41,240,36,180
"부산광역시","내국인(출생)+내국인(귀화)",3415,3342,995,1809,87,417,34,73,3588,3515,1019,1935,102,421,38,73,3817,3738,1031,2123,95,442,47,79,3925,3851,1034,2248,91,440,38,74,4118,4041,1012,2425,101,462,41,77
"부산광역시","내국인(출생)+외국인(결혼이민자)",5750,5505,1699,2970,156,596,84,245,5848,5587,1595,3193,144,577,78,261,6153,5833,1483,3516,146,607,81,320,5866,5552,1181,3602,139,556,74,314,5723,5396,1067,3587,128,543,71,327
